# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
2.265405413549195757e+01, 2.370261410267818647e+01, 8.367784955450849438e+00, 8.296884559088491429e+00
2.257809328597928911e+01, 2.363045477526068083e+01, 8.377228755994540421e+00, 8.284072607373023089e+00
2.251165215859289859e+01, 2.355496049715939932e+01, 8.382476920605569148e+00, 8.291961986944507146e+00
2.241865544591899706e+01, 2.347465861134788767e+01, 8.392546318407445582e+00, 8.282868480636194519e+00
2.231420707076410181e+01, 2.338624731288504321e+01, 8.363823212560465237e+00, 8.286783646173752516e+00
2.223175208252077795e+01, 2.331380307938002971e+01, 8.312052393722144217e+00, 8.274614760715568451e+00
2.216567077170731892e+01, 2.324368041648712335e+01, 8.297891898551638334e+00, 8.286540311064184650e+00
2.208739562231600928e+01, 2.317305756095241520e+01, 8.308293746303782257e+00, 8.286732709549948339e+00
2.201573373474616702e+01, 2.310518091083010361e+01, 8.298477165769398312e+00, 8.298970699383126259e+00
2.195166846009598416e+01, 2.303829130166097983e+01, 8.297693909725065708e+00, 8.312421223549748106e+00
2.189138845977107195e+01, 2.296466723382158648e+01, 8.306230761436165011e+00, 8.321803917443947540e+00
2.176699614449491094e+01, 2.287247329625113323e+01, 8.314774886587224856e+00, 8.307441365879798312e+00
2.168445255140100514e+01, 2.280246330592582993e+01, 8.231513281161433326e+00, 8.287399555393781370e+00
2.157637298826926298e+01, 2.271656685353072902e+01, 8.210041853601461881e+00, 8.296165536828180365e+00
2.150816557565896758e+01, 2.265230852177299781e+01, 8.141979682940654328e+00, 8.277219961945414539e+00
2.145228903515326735e+01, 2.258198528242919068e+01, 8.137297447105410697e+00, 8.289352606918308553e+00
2.139520916508120152e+01, 2.251892394023974120e+01, 8.148499696565776773e+00, 8.275621313637438803e+00
2.133910536822235926e+01, 2.245476483813442314e+01, 8.160001688748350190e+00, 8.280846594240070857e+00
2.128265799762257160e+01, 2.239279616287665675e+01, 8.172184013015151294e+00, 8.281001223160417979e+00
2.122127141919038351e+01, 2.233229999430387380e+01, 8.183662961386405144e+00, 8.286964854656199364e+00
2.115939308643981320e+01, 2.227231186109471750e+01, 8.188339043290282504e+00, 8.299742900800984202e+00
2.108325613680934651e+01, 2.220733074272030549e+01, 8.192814271998592801e+00, 8.312440884736517432e+00
2.101122550402629230e+01, 2.214255630512714035e+01, 8.175136814782437256e+00, 8.320293378970262665e+00
2.092093986743075362e+01, 2.207116291440668832e+01, 8.160607421394892924e+00, 8.326096542201733897e+00
2.085473763194469754e+01, 2.201067159763177372e+01, 8.117864208859625563e+00, 8.322210482070843796e+00
2.079585785832513878e+01, 2.195334163243848380e+01, 8.110299804780984445e+00, 8.332094225199204729e+00
2.073690654774934572e+01, 2.189660364894269051e+01, 8.113682801539544798e+00, 8.345040555871262811e+00
2.068253371436561494e+01, 2.183963654083814276e+01, 8.117169912048424862e+00, 8.358040115770876355e+00
2.062590831051133833e+01, 2.178369243608550931e+01, 8.127185034416731568e+00, 8.367317283001968420e+00
2.055791176247886654e+01, 2.172476300775490543e+01, 8.133273469082576312e+00, 8.379868690034847134e+00
2.049753624271407304e+01, 2.166847035626553364e+01, 8.121712305432232881e+00, 8.389440177117363007e+00
2.042783592845622920e+01, 2.160997955980474927e+01, 8.120521988609993969e+00, 8.401408748495136081e+00
2.037769326844675177e+01, 2.155429707424518071e+01, 8.105038957087472795e+00, 8.410282699445717824e+00
2.027258507615522731e+01, 2.147380277552712613e+01, 8.117454899565000659e+00, 8.418388316145613004e+00
2.021410287752135915e+01, 2.141970737368706068e+01, 8.041567020854039072e+00, 8.389869268564366322e+00
2.016441860809511866e+01, 2.134482242697085752e+01, 8.038944233919217197e+00, 8.401444715308016953e+00
2.010827147198948239e+01, 2.129237860225115497e+01, 8.044954768517222021e+00, 8.367071356589612208e+00
2.003997185053770025e+01, 2.123322278490417503e+01, 8.045730946975327313e+00, 8.379631640869781961e+00
1.999389378680250928e+01, 2.117801543241807494e+01, 8.025785875722068141e+00, 8.381361073147134633e+00
1.994779216794685794e+01, 2.112533541414238414e+01, 8.039863015258509549e+00, 8.383681341973060697e+00
1.987995728320449729e+01, 2.106796584052726473e+01, 8.053559965602351767e+00, 8.390930526414619450e+00
1.982807152509169413e+01, 2.101775495610891653e+01, 8.033978609420797667e+00, 8.394159585815266666e+00
1.977218419918574810e+01, 2.096549933616203631e+01, 8.038308814270441971e+00, 8.406737225995922103e+00
1.970166907338555617e+01, 2.090913716527092348e+01, 8.035589246996918789e+00, 8.415904790171051530e+00
1.965219375461675000e+01, 2.086044105375706792e+01, 8.010132459924381720e+00, 8.418581496358390481e+00
1.958842236220559130e+01, 2.080556873810431995e+01, 8.016211644637554201e+00, 8.431366057670453884e+00
1.954582930506935057e+01, 2.074674645210399504e+01, 7.999007040931401136e+00, 8.434388811923284379e+00
1.946659663003832463e+01, 2.068538955413876934e+01, 8.013441814483165615e+00, 8.426233606618755090e+00
1.942442435928240130e+01, 2.062979356977998791e+01, 7.971076423947807577e+00, 8.418114246982685955e+00
1.936636619417046745e+01, 2.057898939444331887e+01, 7.984706037682970603e+00, 8.414943663838322152e+00
1.931817810815687864e+01, 2.053270043562142888e+01, 7.974319803786191763e+00, 8.421570359331029820e+00
1.927067797032371388e+01, 2.048656425065393805e+01, 7.978890527327090254e+00, 8.434267838260739225e+00
1.919394435096648266e+01, 2.042587291325753185e+01, 7.984052666292119405e+00, 8.446793242928311685e+00
1.913528340446703524e+01, 2.037529411481238029e+01, 7.942211965344561975e+00, 8.435905944076743879e+00
1.908038973197167465e+01, 2.032637443992772930e+01, 7.927457724730500033e+00, 8.439718629481077983e+00
1.904102688011301225e+01, 2.027974856918669389e+01, 7.917880319260856226e+00, 8.445358675227419454e+00
1.900214776593943000e+01, 2.023302286732673494e+01, 7.932862005120610682e+00, 8.454501946215838615e+00
1.894229407820134981e+01, 2.018049973299658006e+01, 7.948380941180049675e+00, 8.463057907983781547e+00
1.890408360916552155e+01, 2.013264135441581004e+01, 7.930458424350183222e+00, 8.461608955029175760e+00
1.882653608168736525e+01, 2.007515597849680233e+01, 7.946131225326046099e+00, 8.467595966361239235e+00
1.878910295799745356e+01, 2.002751207438463865e+01, 7.898976199376966711e+00, 8.456597517943333031e+00
1.874812550510301534e+01, 1.998526737071797754e+01, 7.914777414402085931e+00, 8.461979531215519046e+00
1.870997767599087425e+01, 1.994239974002844917e+01, 7.924445607827883542e+00, 8.474703639645964515e+00
1.865167008915219782e+01, 1.989463791256187619e+01, 7.938431010179472835e+00, 8.486379987692830085e+00
1.861166277593223484e+01, 1.985292372181430309e+01, 7.920342350028223066e+00, 8.489023716625737848e+00
1.856244076075731186e+01, 1.981008505364195216e+01, 7.930286319565695408e+00, 8.501541727793870962e+00
1.852532787818115523e+01, 1.976845740720354883e+01, 7.925185260774729734e+00, 8.511136151899343361e+00
1.848149896627833044e+01, 1.972566343862386873e+01, 7.939278009588618623e+00, 8.523185350321071496e+00
1.843280289793234061e+01, 1.968225051083150134e+01, 7.942679966567662397e+00, 8.532349329603682975e+00
1.839683232845058569e+01, 1.964056668511904746e+01, 7.937854722989673206e+00, 8.539793721698934803e+00
1.835689785298090726e+01, 1.960008385583468993e+01, 7.952809647249800662e+00, 8.551030359332189690e+00
